"許可證字號","中文品名","英文品名","有效日期","申請商名稱","發證日期","申請商電話","劑型","用途","簽審文件","製造廠國別","成分","申請商地址","包裝量及單位"
"衛部添輸字  013253","甜菊醣苷","Steviol Glycosides (Stevia Extract)","2030/10/24","萬岱豐食品股份有限公司","2020/10/24","03-3609251",,"甜味劑;;","DHB0M013253000","CN",,,
"衛部添輸字  014144","檸檬酸鉀","Potassium Citrate (Potassium Citrate USP)","2028/11/06","美隆貿易股份有限公司","2023/11/06","06-2619348",,"調味劑;;","DHB0M014144000","IN",,,
"衛署添製字  000328","冰醋酸　　　　　　　　　　　　　　　　　　　　　　　","Acetic Acid Glacial","2028/10/27","聯工化學廠股份有限公司","1983/10/27","035-712345",,"調味劑;;",,,,,
"衛署添輸字  008403","乙烯二胺四醋酸二鈉","Disodium Ethylenediaminetetraacetate (EDTA NA2) (DISSOLVINE NA2-P)","2029/08/17","新和食品股份有限公司","2009/08/17","02-25954321",,"品質改良用、釀造用及食品製造用劑;;抗氧化劑;;","DHB0C008403001","NL",,,
"衛部添製字  001386","靜力 E (複方食品添加物)","SAFETY-EXCELLENT","2027/05/06","祥旺食品工業股份有限公司","2022/05/06","02-82731898","粉劑","品質改良用、釀造用及食品製造用劑;;",,,"Sodium Acetate (Anhydrous);;Citric Acid (Citric Acid, Anhydrous);;",,"1.00000公斤;5.00000公斤;10.00000公斤"
"衛部添製字  002075","海藻酸鈉","SODIUM ALGINATE","2026/03/29","順慶實業有限公司","2016/03/29","07-7871761","粉劑","粘稠劑（糊料）;;",,,"SODIUM ALGINATE;;",,"100.00000公克;500.00000公克;1.00000公斤;5.00000公斤;20.00000公斤;25.00000公斤;10.00000公克;50.00000公克;20.00000公斤;25.00000公斤"
"衛部添製字  002084","保蝦 S粉","PAOHSIA S","2028/07/29","振源食品科技股份有限公司","2013/07/29","02-23690989","結晶性粉末","品質改良用、釀造用及食品製造用劑;;結著劑;;",,,"SODIUM POLYPHOSPHATE(SODIUM TRIPOLYPHOSPHATE);;SODIUM POLYPHOSPHATE (SODIUM HEXAMETAPHOSPHATE);;SODIUM PYROPHOSPHATE, ANHYDROUS;;SODIUM POLYPHOSPHATE;;",,"0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤"
"衛部添製字  002085","檸檬酸鉀","POTASSIUM CITRATE","2028/07/26","三福化工股份有限公司","2013/07/26","02-5214161","結晶性粉末","調味劑;;",,,"POTASSIUM CITRATE;;",,"25.00000公斤"
"衛部添製字  002086","檸檬酸鈉","SODIUM CITRATE","2028/07/26","三福化工股份有限公司","2013/07/26","02-5214161","結晶性粉末","調味劑;;",,,"SODIUM CITRATE (SODIUM CITRATE, DIHYDRATE);;",,"25.00000公斤;20.00000公斤;10.00000公斤"
"衛部添製字  002093","硫酸鈣","CALCIUM SULFATE","2028/08/15","盛源食品原料股份有限公司","2013/08/15","02-23699828","粉劑","品質改良用、釀造用及食品製造用劑;;營養添加劑;;",,,"CALCIUM SULFATE (CALCIUM SULFATE, DIHYDRATE);;",,"1.00000公斤;20.00000公斤;25.00000公斤"
